%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1531943811013785269,555,1531943811012956544,,1531943810900000000,fcu
1531943811513319760,556,1531943811512925173,,1531943811398000000,fcu
1531943811915268295,557,1531943811914321459,,1531943811800000000,fcu
1531943812322411973,558,1531943812321924171,,1531943812199000000,fcu
1531943812908991896,559,1531943812908711483,,1531943812798000000,fcu
1531943813466623305,560,1531943813464350470,,1531943813360000000,fcu
1531943813848168890,561,1531943813847863166,,1531943813699000000,fcu
1531943814228823324,562,1531943814227230417,,1531943814099000000,fcu
1531943814787723215,563,1531943814787168310,,1531943814680000000,fcu
1531943815205681282,564,1531943815205451109,,1531943815101000000,fcu
1531943815711058056,565,1531943815710712269,,1531943815598000000,fcu
1531943816110248977,566,1531943816109996308,,1531943815998000000,fcu
1531943816577025710,567,1531943816576720274,,1531943816460000000,fcu
1531943817109608815,568,1531943817109420433,,1531943816999000000,fcu
1531943817635418928,569,1531943817634641978,,1531943817499000000,fcu
1531943818131248878,570,1531943818127022627,,1531943817999000000,fcu
1531943818675968879,571,1531943818675503573,,1531943818560000000,fcu
1531943819117704514,572,1531943819117417542,,1531943818999000000,fcu
1531943819591220911,573,1531943819590026110,,1531943819479000000,fcu
1531943820123060035,574,1531943820122647496,,1531943820000000000,fcu
1531943820572172367,575,1531943820570513956,,1531943820459000000,fcu
1531943821065389813,576,1531943821063234992,,1531943820944000000,fcu
1531943821562009628,577,1531943821561768351,,1531943821444000000,fcu
1531943822139200920,578,1531943822138893404,,1531943822022000000,fcu
1531943822445173235,579,1531943822442539924,,1531943822321000000,fcu
1531943822986426106,580,1531943822986007103,,1531943822844000000,fcu
1531943823419759693,581,1531943823419194612,,1531943823298000000,fcu
1531943823912599133,582,1531943823912443327,,1531943823799000000,fcu
1531943824518003328,583,1531943824517807650,,1531943824399000000,fcu
1531943824991638697,584,1531943824991309517,,1531943824879000000,fcu
1531943825410197992,585,1531943825409875532,,1531943825279000000,fcu
1531943825791114938,586,1531943825790645695,,1531943825660000000,fcu
1531943826235682653,587,1531943826235390528,,1531943826099000000,fcu
1531943826512144772,588,1531943826505758227,,1531943826402000000,fcu
1531943827112306572,589,1531943827112021328,,1531943826999000000,fcu
1531943827619196224,590,1531943827618142061,,1531943827500000000,fcu
1531943828261045753,591,1531943828256246292,,1531943828140000000,fcu
1531943828636667976,592,1531943828634636417,,1531943828521000000,fcu
1531943829020246454,593,1531943829019575582,,1531943828899000000,fcu
1531943829587680154,594,1531943829587310047,,1531943829478000000,fcu
1531943830120263374,595,1531943830119847859,,1531943829998000000,fcu
1531943830678562609,596,1531943830677938809,,1531943830560000000,fcu
1531943831064348025,597,1531943831064122683,,1531943830941000000,fcu
1531943831655426455,598,1531943831655057884,,1531943831519000000,fcu
1531943831962885093,599,1531943831962606504,,1531943831859000000,fcu
1531943832376346154,600,1531943832375922832,,1531943832259000000,fcu
1531943832952916810,601,1531943832947568267,,1531943832821000000,fcu
1531943833290671507,602,1531943833290400055,,1531943833178000000,fcu
1531943833719485225,603,1531943833718717714,,1531943833579000000,fcu
1531943834199331092,604,1531943834199086263,,1531943834080000000,fcu
1531943834741651118,605,1531943834740828280,,1531943834622000000,fcu
1531943835084574179,606,1531943835084278311,,1531943834979000000,fcu
1531943835578070652,607,1531943835577816543,,1531943835444000000,fcu
1531943836010037088,608,1531943836009761763,,1531943835899000000,fcu
1531943836584734827,609,1531943836584368336,,1531943836444000000,fcu
1531943837003972499,610,1531943837003741877,,1531943836881000000,fcu
1531943837473338885,611,1531943837469532307,,1531943837359000000,fcu
1531943837981463619,612,1531943837980923209,,1531943837843000000,fcu
1531943838429725182,613,1531943838429368354,,1531943838319000000,fcu
1531943838904019872,614,1531943838903644740,,1531943838761000000,fcu
1531943839416383775,615,1531943839415694503,,1531943839299000000,fcu
1531943839967691339,616,1531943839967170161,,1531943839859000000,fcu
1531943840557363477,617,1531943840557075576,,1531943840444000000,fcu
1531943840935370033,618,1531943840935153204,,1531943840802000000,fcu
1531943841343811528,619,1531943841343646762,,1531943841222000000,fcu
1531943841851424921,620,1531943841851037918,,1531943841741000000,fcu
1531943842279809256,621,1531943842277983678,,1531943842143000000,fcu
1531943842617976243,622,1531943842610335567,,1531943842499000000,fcu
1531943843084260865,623,1531943843082441591,,1531943842961000000,fcu
1531943843542891635,624,1531943843541755328,,1531943843401000000,fcu
1531943844007026307,625,1531943844005088570,,1531943843899000000,fcu
1531943844528306099,626,1531943844527962071,,1531943844402000000,fcu
1531943845129426124,627,1531943845128201435,,1531943844998000000,fcu
1531943845584916024,628,1531943845584299712,,1531943845442000000,fcu
1531943846178895318,629,1531943846178623481,,1531943846043000000,fcu
1531943846652451957,630,1531943846652195864,,1531943846520000000,fcu
1531943847139734547,631,1531943847139495606,,1531943847021000000,fcu
1531943847591140804,632,1531943847590241263,,1531943847478000000,fcu
1531943848153267349,633,1531943848150943921,,1531943848002000000,fcu
1531943848646803323,634,1531943848645587305,,1531943848520000000,fcu
1531943849174325201,635,1531943849174045812,,1531943849040000000,fcu
1531943849664041295,636,1531943849659331975,,1531943849541000000,fcu
1531943850286181844,637,1531943850283806512,,1531943850159000000,fcu
1531943850906110683,638,1531943850905742240,,1531943850798000000,fcu
1531943851452814316,639,1531943851452059957,,1531943851340000000,fcu
1531943851770029872,640,1531943851769566901,,1531943851659000000,fcu
1531943852115660679,641,1531943852114979183,,1531943851998000000,fcu
1531943852619498750,642,1531943852617398646,,1531943852498000000,fcu
1531943853212880026,643,1531943853212699132,,1531943853099000000,fcu
1531943853579251722,644,1531943853578416723,,1531943853458000000,fcu
1531943853932081784,645,1531943853931124867,,1531943853822000000,fcu
1531943854485271231,646,1531943854484730917,,1531943854360000000,fcu
1531943854803781352,647,1531943854797284212,,1531943854680000000,fcu
1531943855290955836,648,1531943855290606496,,1531943855178000000,fcu
1531943855514358308,649,1531943855514080615,,1531943855399000000,fcu
1531943855866096142,650,1531943855865893456,,1531943855743000000,fcu
1531943856300617012,651,1531943856300311383,,1531943856161000000,fcu
1531943856715979228,652,1531943856709461000,,1531943856581000000,fcu
1531943857159004068,653,1531943857158776519,,1531943857044000000,fcu
1531943857772299345,654,1531943857771812278,,1531943857643000000,fcu
1531943858469462739,655,1531943858469217654,,1531943858359000000,fcu
1531943858978249612,656,1531943858978014095,,1531943858843000000,fcu
1531943859474801213,657,1531943859474483840,,1531943859361000000,fcu
1531943859979966601,658,1531943859979656589,,1531943859844000000,fcu
1531943860503156302,659,1531943860501482369,,1531943860400000000,fcu
1531943860940747732,660,1531943860940121340,,1531943860802000000,fcu
1531943861453563772,661,1531943861453334942,,1531943861321000000,fcu
1531943861993328620,662,1531943861990745418,,1531943861860000000,fcu
1531943862607140014,663,1531943862605983547,,1531943862480000000,fcu
1531943863115918129,664,1531943863115509269,,1531943863001000000,fcu
1531943863573278541,665,1531943863573118159,,1531943863459000000,fcu
1531943863967787680,666,1531943863967570178,,1531943863860000000,fcu
1531943864655574242,667,1531943864653491802,,1531943864520000000,fcu
1531943865093008975,668,1531943865092830033,,1531943864960000000,fcu
1531943865573897166,669,1531943865573696528,,1531943865460000000,fcu
1531943866037492340,670,1531943866037118584,,1531943865918000000,fcu
1531943866583209970,671,1531943866583003733,,1531943866461000000,fcu
1531943867256101215,672,1531943867255776835,,1531943867141000000,fcu
1531943867809184371,673,1531943867808860599,,1531943867699000000,fcu
1531943868372479575,674,1531943868372167771,,1531943868259000000,fcu
1531943868809193833,675,1531943868808925740,,1531943868698000000,fcu
1531943869288117981,676,1531943869287506308,,1531943869160000000,fcu
1531943869782635073,677,1531943869782206854,,1531943869660000000,fcu
1531943870113303803,678,1531943870113066494,,1531943869998000000,fcu
1531943870743812247,679,1531943870743563290,,1531943870623000000,fcu
1531943871331916990,680,1531943871331703744,,1531943871222000000,fcu
1531943871961087541,681,1531943871960674586,,1531943871841000000,fcu
1531943872298879373,682,1531943872296846309,,1531943872179000000,fcu
1531943872767863184,683,1531943872767629811,,1531943872660000000,fcu
1531943873147254962,684,1531943873147021301,,1531943873044000000,fcu
1531943873696056208,685,1531943873695639605,,1531943873559000000,fcu
1531943874251517607,686,1531943874251259914,,1531943874142000000,fcu
1531943874802480407,687,1531943874802250682,,1531943874679000000,fcu
1531943875403022586,688,1531943875402665054,,1531943875279000000,fcu
1531943876123221846,689,1531943876122619708,,1531943875999000000,fcu
1531943876559899174,690,1531943876559692008,,1531943876441000000,fcu
1531943877077869535,691,1531943877076935114,,1531943876943000000,fcu
1531943877533880413,692,1531943877533399618,,1531943877422000000,fcu
1531943878053226128,693,1531943878052705686,,1531943877941000000,fcu
1531943878681444989,694,1531943878680503367,,1531943878560000000,fcu
1531943879091713799,695,1531943879091229389,,1531943878960000000,fcu
1531943879372483211,696,1531943879372198510,,1531943879260000000,fcu
1531943879891914158,697,1531943879890912153,,1531943879760000000,fcu
1531943880275265362,698,1531943880274341532,,1531943880159000000,fcu
1531943880769519287,699,1531943880767528846,,1531943880659000000,fcu
1531943881298344668,700,1531943881297330728,,1531943881179000000,fcu
1531943881653602083,701,1531943881653397350,,1531943881543000000,fcu
1531943882050071612,702,1531943882049822239,,1531943881919000000,fcu
1531943882507271826,703,1531943882506583546,,1531943882398000000,fcu
1531943883030675074,704,1531943883030296774,,1531943882919000000,fcu
1531943883470093414,705,1531943883469906600,,1531943883358000000,fcu
1531943883922550200,706,1531943883922145916,,1531943883802000000,fcu
1531943884440094551,707,1531943884437793232,,1531943884319000000,fcu
1531943884844622792,708,1531943884843698034,,1531943884718000000,fcu
1531943885210925416,709,1531943885209727190,,1531943885099000000,fcu
1531943885886714346,710,1531943885886280591,,1531943885779000000,fcu
1531943886449415938,711,1531943886449174981,,1531943886320000000,fcu
1531943886904926760,712,1531943886904679691,,1531943886799000000,fcu
1531943887417393048,713,1531943887416858942,,1531943887298000000,fcu
1531943887964034381,714,1531943887963875599,,1531943887859000000,fcu
1531943888570272595,715,1531943888570075797,,1531943888458000000,fcu
1531943888993731755,716,1531943888993376591,,1531943888879000000,fcu
1531943889407095129,717,1531943889406860124,,1531943889298000000,fcu
1531943889941607717,718,1531943889933846620,,1531943889822000000,fcu
1531943890566535247,719,1531943890566289682,,1531943890443000000,fcu
1531943891013098485,720,1531943891012151200,,1531943890899000000,fcu
1531943891562960841,721,1531943891561590328,,1531943891459000000,fcu
1531943892025942496,722,1531943892025511909,,1531943891898000000,fcu
1531943892583834564,723,1531943892583408520,,1531943892460000000,fcu
1531943893060432299,724,1531943893059562965,,1531943892943000000,fcu
1531943893533963483,725,1531943893533009254,,1531943893398000000,fcu
1531943894072200097,726,1531943894070031097,,1531943893941000000,fcu
1531943894406107645,727,1531943894405736769,,1531943894278000000,fcu
1531943894862378962,728,1531943894862095605,,1531943894741000000,fcu
1531943895429679812,729,1531943895429367784,,1531943895318000000,fcu
1531943895956091900,730,1531943895955828287,,1531943895843000000,fcu
1531943896509998602,731,1531943896508644120,,1531943896379000000,fcu
1531943897217605855,732,1531943897217096613,,1531943897099000000,fcu
1531943897700529730,733,1531943897697458372,,1531943897561000000,fcu
1531943898197652332,734,1531943898194150962,,1531943898078000000,fcu
1531943898707380720,735,1531943898706658936,,1531943898578000000,fcu
1531943899106852496,736,1531943899106487284,,1531943898981000000,fcu
1531943899444757495,737,1531943899444470458,,1531943899321000000,fcu
1531943900056798082,738,1531943900056640484,,1531943899921000000,fcu
1531943900577208864,739,1531943900576974147,,1531943900478000000,fcu
1531943901240915841,740,1531943901238233054,,1531943901119000000,fcu
1531943901703986298,741,1531943901703466623,,1531943901579000000,fcu
1531943902184220089,742,1531943902183889821,,1531943902079000000,fcu
1531943902725242276,743,1531943902717199611,,1531943902598000000,fcu
1531943903136728599,744,1531943903135860449,,1531943903002000000,fcu
1531943903587446403,745,1531943903587135878,,1531943903459000000,fcu
1531943904162235144,746,1531943904160410971,,1531943904002000000,fcu
1531943904777182077,747,1531943904776985087,,1531943904643000000,fcu
1531943905342117783,748,1531943905341661436,,1531943905221000000,fcu
1531943905837726566,749,1531943905837367562,,1531943905720000000,fcu
1531943906154054934,750,1531943906153614683,,1531943906041000000,fcu
1531943906754022622,751,1531943906753519492,,1531943906640000000,fcu
1531943907277488394,752,1531943907276921648,,1531943907162000000,fcu
1531943907780791892,753,1531943907779744992,,1531943907643000000,fcu
1531943908249256891,754,1531943908248527939,,1531943908121000000,fcu
1531943908807206907,755,1531943908806728096,,1531943908698000000,fcu
1531943909262811348,756,1531943909262489207,,1531943909139000000,fcu
1531943909949240173,757,1531943909947301889,,1531943909821000000,fcu
1531943910438723422,758,1531943910438161572,,1531943910318000000,fcu
1531943910870885053,759,1531943910870591104,,1531943910759000000,fcu
1531943911427950395,760,1531943911425338839,,1531943911319000000,fcu
1531943912102493351,761,1531943912102249993,,1531943911960000000,fcu
1531943912588426956,762,1531943912587664981,,1531943912479000000,fcu
1531943913088160638,763,1531943913087939008,,1531943912960000000,fcu
1531943913622847099,764,1531943913621898086,,1531943913499000000,fcu
1531943914168621028,765,1531943914168250248,,1531943914041000000,fcu
1531943914604408562,766,1531943914603687993,,1531943914479000000,fcu
1531943915192359836,767,1531943915192115615,,1531943915060000000,fcu
1531943915738143280,768,1531943915736826878,,1531943915599000000,fcu
1531943916110675661,769,1531943916110501742,,1531943915979000000,fcu
1531943916449018716,770,1531943916448643808,,1531943916318000000,fcu
1531943916885562445,771,1531943916885310416,,1531943916779000000,fcu
1531943917475895280,772,1531943917475581524,,1531943917359000000,fcu
1531943917927114985,773,1531943917926560623,,1531943917801000000,fcu
1531943918303510215,774,1531943918303206155,,1531943918178000000,fcu
1531943918760747204,775,1531943918759870126,,1531943918643000000,fcu
1531943919175877095,776,1531943919175530730,,1531943919044000000,fcu
1531943919782349388,777,1531943919782134254,,1531943919678000000,fcu
1531943920304465788,778,1531943920303288297,,1531943920178000000,fcu
1531943920774312670,779,1531943920773713669,,1531943920644000000,fcu
1531943921164350424,780,1531943921164054811,,1531943921044000000,fcu
1531943921803836652,781,1531943921803542863,,1531943921699000000,fcu
1531943922302532739,782,1531943922302328069,,1531943922179000000,fcu
1531943922837405466,783,1531943922837002142,,1531943922719000000,fcu
1531943923353150913,784,1531943923352427049,,1531943923224000000,fcu
1531943923971095305,785,1531943923968674819,,1531943923841000000,fcu
1531943924514460498,786,1531943924514272820,,1531943924398000000,fcu
1531943925118231769,787,1531943925118002524,,1531943924999000000,fcu
1531943925672317336,788,1531943925671516161,,1531943925560000000,fcu
1531943926102310911,789,1531943926100740752,,1531943925981000000,fcu
1531943926682524431,790,1531943926682101716,,1531943926559000000,fcu
1531943927183213069,791,1531943927182858993,,1531943927079000000,fcu
1531943927604429050,792,1531943927603392293,,1531943927480000000,fcu
1531943928069316472,793,1531943928068884797,,1531943927960000000,fcu
1531943928608122987,794,1531943928607782191,,1531943928479000000,fcu
1531943929024952779,795,1531943929024701486,,1531943928899000000,fcu
1531943929369765130,796,1531943929369611756,,1531943929260000000,fcu
1531943929849789778,797,1531943929847331244,,1531943929743000000,fcu
1531943930336507286,798,1531943930334249966,,1531943930222000000,fcu
1531943930751163158,799,1531943930750883161,,1531943930622000000,fcu
1531943931164772867,800,1531943931164422599,,1531943931042000000,fcu
1531943931614747827,801,1531943931613090244,,1531943931480000000,fcu
1531943932096942607,802,1531943932096533076,,1531943931981000000,fcu
1531943932651614771,803,1531943932649970757,,1531943932520000000,fcu
1531943933102010821,804,1531943933101790695,,1531943933002000000,fcu
1531943933550257137,805,1531943933549962420,,1531943933441000000,fcu
1531943933992332894,806,1531943933992017473,,1531943933879000000,fcu
1531943934408237922,807,1531943934406654834,,1531943934279000000,fcu
1531943934867957400,808,1531943934867300415,,1531943934759000000,fcu
1531943935205095868,809,1531943935204837566,,1531943935099000000,fcu
1531943935627822269,810,1531943935627595007,,1531943935519000000,fcu
1531943936327435904,811,1531943936325673746,,1531943936199000000,fcu
1531943936922602097,812,1531943936922212053,,1531943936801000000,fcu
1531943937471173554,813,1531943937470763350,,1531943937344000000,fcu
1531943937892339596,814,1531943937890606782,,1531943937760000000,fcu
1531943938327765589,815,1531943938327463736,,1531943938222000000,fcu
1531943938852960081,816,1531943938852745811,,1531943938743000000,fcu
1531943939264327450,817,1531943939263709057,,1531943939144000000,fcu
1531943939714315728,818,1531943939714070131,,1531943939599000000,fcu
1531943940266623640,819,1531943940265850496,,1531943940159000000,fcu
1531943940768271093,820,1531943940764521948,,1531943940659000000,fcu
1531943941157153872,821,1531943941156614038,,1531943941023000000,fcu
1531943941708543242,822,1531943941708134894,,1531943941583000000,fcu
1531943942202627710,823,1531943942199047875,,1531943942081000000,fcu
1531943942721726255,824,1531943942720317918,,1531943942598000000,fcu
